Category,Item,Serving Size,Weight (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV)
Dressing and Dips,Greek Feta,side 28ml (1oz),,170,19,2,0.2,9.4,131,0,0,0,1.5,0,0,0,0
Dressing and Dips,Marinara Dipping Sauce,1 cup 47g,,30,0.5,0,0,0,220,5,1,3,1,4,10,0,2
Dressing and Dips,Creamy Garlic Dipping Sauce,1 cup 43g,,210,23,2,0.3,0,240,2,0,1,0.2,0,0,0,0
Dressing and Dips,Cheddar Jalapeno Dipping Sauce,1 cup 44ml,,390,39,4,0.4,50,900,5,0,4,3,2,2,6,2
Dressing and Dips,Traditional Donair Sauce,1 cup 100ml,,140,0,0,0,5,80,30,0,26,6,0,0,20,0
Dressing and Dips,Peppercorn Ranch Dipping Sauce,1 cup 43g,,190,20,2,0.3,10,410,2,0,1,1,0,0,2,0
Wraps,Chicken Caesar Wrap,1 wrap,217,570,33,7,0,65,1530,41,3,2,28,10,10,15,8
Wraps,Chicken Pesto Wrap,1 wrap,225,490,24,6,0.5,50,1110,41,4,3,29,30,10,20,10
Pasta,Tuscani Chicken Alfredo Pasta (regular size),1/2 order,307,550,26,8,0.5,45,1290,54,3,4,22,8,4,20,25
Pasta,Tuscani Chicken Alfredo Pasta (family size),1/4 order,308,550,26,8,0.5,45,1290,54,3,4,22,8,4,20,25
Pasta,Tuscani Premium Bacon Mac'n Cheese,individual meal,262,580,31,17,1,75,1460,46,3,4,30,10,4,50,25
Pasta,Tuscani Premium Bacon Mac'n Cheese (regular size),1/2 order,300,600,31,17,1,65,1490,55,3,6,26,10,2,35,20
Pasta,Tuscani Premium Bacon Mac'n Cheese (family size),1/4 order,299,600,31,17,1,65,1490,55,3,6,26,10,2,35,20
Pasta,Tuscani Mediterranean con Pollo Pasta,individual meal,255,450,10,4,0,30,714,69,11,9,29,8,0,20,25
Pasta,Tuscani Mediterranean con Pollo Pasta,1/3 of tray,243,340,7,3,0,20,705,55,8,9,22,10,0,10,15
Pasta,Tuscani Mediterranean Vegetable Pasta,individual meal,252,430,10,5,0,20,706,68,10,9,28,8,0,20,25
Pasta,Tuscani Mediterranean Vegetable Pasta,1/3 of tray,233,320,7,3,0,10,606,54,8,9,18,10,0,10,15
Pasta,Tuscani Meaty Marinara Pasta (regular size),1/2 order,319,550,24,9,0.3,55,115,58,4,8,26,2,30,10,70
Pasta,Tuscani Meaty Marinara Pasta (family size),1/4 order,322,550,24,9,0.3,55,105,59,4,8,26,2,30,10,70
Pasta,Fettuccini Alfredo,meal size,475,760,32,9,0.5,40,1670,93,4,8,24,15,6,25,45
Pasta,Chicken Fettuccini Alfredo,meal size,559,860,34,10,1,80,2150,95,5,9,42,15,8,25,50
Pasta,Spaghetti Bolognese,meal size,577,770,24,5,1,35,1290,104,7,16,32,8,45,20,70
Pasta,Spicy Italian Sausage Pasta,meal size,699,1130,62,14,0.5,95,4420,107,14,29,38,30,150,20,70
Pasta,Grilled Chicken Breast Strips (optional),side,47,50,1,0,0,20,270,1,1,0,10,0,2,0,2
Meat,Italian Classic 6" Personal Pan Pizza®,1 pizza,223,650,28,9,0.3,50,790,73,4,3,27,10,50,20,160
Meat,Italian Classic 9" Small Pan,1 slice = 1/6 pizza,74,210,10,3,0.1,20,280,23,1,1,9,4,25,8,45
Meat,Italian Classic 12" Medium Pan,1 slice = 1/8 pizza,102,290,13,5,0.2,25,390,30,2,2,13,6,30,10,60
Meat,Italian Classic 14" Large Pan,1 slice = 1/12 pizza,96,270,13,5,0.2,25,370,28,2,2,12,6,30,10,60
Meat,Italian Classic 12" Medium Thin 'N Crispy®,1 slice = 1/8 pizza,83,250,11,5,0.2,25,500,28,2,2,12,6,30,10,15
