Item Name,Source URL,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fibre (g),Sugars (g),Protein (g),Potassium (mg),Calcium (% DV),Iron (% DV),Vitamin A (% DV),Vitamin C (% DV),Vitamin D (% DV),Contains Allergens,May Contain Allergens
English Muffin with Butter,https://www.mcdonalds.com/ca/en-ca/product/english-muffin-with-butter.html,58 g,170 Cals,4 g,2 g,0.1 g,10 mg,280 mg,27 g,2 g,2 g,5 g,50 mg,8,10,0,,0,"Barley, Milk, Wheat",
Hash Browns,https://www.mcdonalds.com/ca/en-ca/product/hash-browns.html,55 g,160 Cals,10 g,1.5 g,0 g,0 mg,360 mg,16 g,2 g,0 g,1 g,150 mg,0,2,0,,0,,
Hotcakes with Syrup and Butter,https://www.mcdonalds.com/ca/en-ca/product/hotcakes-with-syrup-and-butter.html,206 g,550 Cals,16 g,6 g,0.2 g,45 mg,660 mg,93 g,3 g,46 g,8 g,250 mg,10,17,11,,0,"Egg, Milk, Soy, Wheat",
Hotcakes,https://www.mcdonalds.com/ca/en-ca/product/hotcakes.html,153 g,350 Cals,9 g,1.5 g,0 g,20 mg,600 mg,60 g,3 g,14 g,8 g,250 mg,10,17,0,,0,"Egg, Milk, Soy, Wheat",
Chicken Big Mac,https://www.mcdonalds.com/ca/en-ca/product/chicken-big-mac.html,236 g,610 Cals,31 g,7 g,0.3 g,60 mg,1070 mg,60 g,3 g,8 g,23 g,350 mg,8,19,0,,0,"Egg, Milk, Mustard, Sesame Seeds, Soy, Wheat",
Creamy Chipotle Chicken McWrap - Crispy,https://www.mcdonalds.com/ca/en-ca/product/creamy-chipotle-chicken-mcwrap-crispy.html,273 g,680 Cals,39 g,8 g,0.3 g,70 mg,1020 mg,53 g,3 g,7 g,28 g,800 mg,6,19,11,,0,"Egg, Mustard, Wheat",
Creamy Chipotle Chicken McWrap - Grilled,https://www.mcdonalds.com/ca/en-ca/product/creamy-chipotle-chicken-mcwrap-grilled.html,257 g,550 Cals,29 g,6 g,0.2 g,95 mg,830 mg,41 g,3 g,5 g,31 g,450 mg,6,17,11,,0,"Egg, Mustard, Wheat",
Sweet Chili Junior Chicken,https://www.mcdonalds.com/ca/en-ca/product/sweet-chili-junior-chicken.html,148 g,410 Cals,21 g,4 g,0.2 g,40 mg,710 mg,43 g,2 g,11 g,12 g,400 mg,2,14,0,,0,"Egg, Mustard, Wheat",
McCrispy,https://www.mcdonalds.com/ca/en-ca/product/mccrispy.html,205 g,520 Cals,26 g,4.5 g,0.3 g,70 mg,840 mg,44 g,2 g,8 g,29 g,500 mg,2,14,0,,0,"Egg, Mustard, Wheat",
Spicy McCrispy,https://www.mcdonalds.com/ca/en-ca/product/spicy-mccrispy.html,209 g,510 Cals,24 g,3.5 g,0.2 g,70 mg,870 mg,44 g,2 g,9 g,29 g,500 mg,2,17,0,,0,"Egg, Mustard, Wheat",
Spicy McCrispy Bacon Deluxe,https://www.mcdonalds.com/ca/en-ca/product/spicy-mccrispy-bacon-deluxe.html,240 g,580 Cals,30 g,5 g,0.2 g,85 mg,1120 mg,46 g,3 g,10 g,34 g,550 mg,2,19,11,,0,"Egg, Mustard, Wheat",
McCrispy Bacon Deluxe,https://www.mcdonalds.com/ca/en-ca/product/mccrispy-bacon-deluxe.html,236 g,590 Cals,32 g,6 g,0.3 g,85 mg,1090 mg,45 g,2 g,9 g,34 g,550 mg,2,17,6,,0,"Egg, Mustard, Wheat",
Grilled Chicken Sandwich,https://www.mcdonalds.com/ca/en-ca/product/mccrispy-with-grilled-chicken.html,189 g,400 Cals,16 g,3 g,0.2 g,90 mg,650 mg,32 g,2 g,6 g,31 g,150 mg,2,14,0,,0,"Egg, Mustard, Wheat",
Bacon Deluxe Grilled Chicken Sandwich,https://www.mcdonalds.com/ca/en-ca/product/bacon-deluxe-mccrispy-sandwich-with-grilled-chicken.html,220 g,470 Cals,22 g,5 g,0.2 g,110 mg,900 mg,33 g,2 g,7 g,36 g,200 mg,2,14,6,,0,"Egg, Mustard, Wheat",
Spicy Grilled Chicken Sandwich,https://www.mcdonalds.com/ca/en-ca/product/spicy-grilled-chicken-sandwich.html,193 g,380 Cals,14 g,2.5 g,0.1 g,90 mg,680 mg,32 g,2 g,7 g,31 g,175 mg,2,17,0,,0,"Egg, Mustard, Wheat",
Spicy Bacon Deluxe Grilled Chicken Sandwich,https://www.mcdonalds.com/ca/en-ca/product/spicy-bacon-deluxe-grilled-chicken-sandwich.html,224 g,450 Cals,20 g,4 g,0.1 g,110 mg,930 mg,34 g,2 g,8 g,36 g,200 mg,2,17,11,,0,"Egg, Mustard, Wheat",
Spicy Habanero McChicken,https://www.mcdonalds.com/ca/en-ca/product/habanero-mcchicken-sandwich.html,179 g,470 Cals,25 g,4 g,0.2 g,45 mg,680 mg,45 g,3 g,7 g,16 g,125 mg,2,19,0,,0,"Egg, Mustard, Sesame Seeds, Soy, Wheat",
McChicken,https://www.mcdonalds.com/ca/en-ca/product/mcchicken.html,175 g,480 Cals,27 g,4.5 g,0.3 g,45 mg,650 mg,45 g,3 g,6 g,16 g,125 mg,2,17,0,,0,"Egg, Mustard, Sesame Seeds, Soy, Wheat",
4 Chicken McNuggets,https://www.mcdonalds.com/ca/en-ca/product/4-chicken-mcnuggets.html,64 g,170 Cals,9 g,1.5 g,0 g,30 mg,300 mg,10 g,0 g,0 g,10 g,0 mg,0,3,0,,0,Wheat,
6 Chicken McNuggets,https://www.mcdonalds.com/ca/en-ca/product/6-chicken-mcnuggets.html,95 g,250 Cals,14 g,2.5 g,0.1 g,40 mg,450 mg,15 g,0 g,0 g,16 g,0 mg,0,4,0,,0,Wheat,
